rank,title,genre,rating,id,year,imdbid
74,Amadeus,"['Biography', 'Drama', 'Music']",8.4,top74,1984,tt0086879
75,The Boat,"['Drama', 'War']",8.4,top75,1981,tt0082096
76,Avengers: Endgame,"['Action', 'Adventure', 'Drama']",8.4,top76,2019,tt4154796
77,Joker,"['Crime', 'Drama', 'Thriller']",8.4,top77,2019,tt7286456
78,Your Name.,"['Animation', 'Drama', 'Fantasy']",8.4,top78,2016,tt5311514
79,3 Idiots,"['Comedy', 'Drama']",8.4,top79,2009,tt1187043
80,High and Low,"['Crime', 'Drama', 'Mystery']",8.4,top80,1963,tt0057565
81,Capernaum,['Drama'],8.4,top81,2018,tt8267604
82,Come and See,"['Drama', 'Thriller', 'War']",8.4,top82,1985,tt0091251
83,Toy Story,"['Animation', 'Adventure', 'Comedy']",8.3,top83,1995,tt0114709
84,American Beauty,['Drama'],8.3,top84,1999,tt0169547
85,Braveheart,"['Biography', 'Drama', 'History']",8.3,top85,1995,tt0112573
86,Princess Mononoke,"['Animation', 'Action', 'Adventure']",8.3,top86,1997,tt0119698
87,Good Will Hunting,"['Drama', 'Romance']",8.3,top87,1997,tt0119217
88,Once Upon a Time in America,"['Crime', 'Drama']",8.3,top88,1984,tt0087843
89,Singin' in the Rain,"['Comedy', 'Musical', 'Romance']",8.3,top89,1952,tt0045152
90,Requiem for a Dream,['Drama'],8.3,top90,2000,tt0180093
91,Toy Story 3,"['Animation', 'Adventure', 'Comedy']",8.3,top91,2010,tt0435761
92,Star Wars: Episode VI - Return of the Jedi,"['Action', 'Adventure', 'Fantasy']",8.3,top92,1983,tt0086190
93,Eternal Sunshine of the Spotless Mind,"['Drama', 'Romance', 'Sci-Fi']",8.3,top93,2004,tt0338013
94,2001: A Space Odyssey,"['Adventure', 'Sci-Fi']",8.3,top94,1968,tt0062622
95,The Hunt,['Drama'],8.3,top95,2012,tt2106476
96,Reservoir Dogs,"['Crime', 'Thriller']",8.3,top96,1992,tt0105236
97,Ikiru,['Drama'],8.3,top97,1952,tt0044741
98,Lawrence of Arabia,"['Adventure', 'Biography', 'Drama']",8.3,top98,1962,tt0056172
99,Citizen Kane,"['Drama', 'Mystery']",8.3,top99,1941,tt0033467
100,M,"['Crime', 'Mystery', 'Thriller']",8.3,top100,1931,tt0022100
